"","Time_sec","Tensile_Stress_MPa","Strain_m","Load_N","Extension_mm"
"1",0,0,8e-05,6,0
"2",0.05,0,8e-05,7,0.002
"3",0.1,0,8e-05,7,0.007
"4",0.15,0,8e-05,7,0.011
"5",0.2,0,8e-05,6,0.015
"6",0.25,0,9e-05,7,0.019
"7",0.3,0,0.00014,9,0.023
"8",0.35,0,0.00019,12,0.027
"9",0.4,1,0.00024,15,0.032
"10",0.45,1,0.00029,17,0.036
"11",0.5,1,0.00034,20,0.04
"12",0.55,1,0.00039,23,0.044
"13",0.6,1,0.00044,25,0.048
"14",0.65,1,0.00049,28,0.052
"15",0.7,1,0.00055,30,0.057
"16",0.75,1,6e-04,33,0.061
"17",0.8,1,0.00065,36,0.065
"18",0.85,1,0.00071,38,0.069
"19",0.9,2,0.00076,41,0.073
"20",0.95,2,0.00081,44,0.077
"21",1,2,0.00087,46,0.082
"22",1.05,2,0.00092,48,0.086
"23",1.1,2,0.00098,51,0.09
"24",1.15,2,0.00103,54,0.094
"25",1.2,2,0.00108,56,0.098
"26",1.25,2,0.00114,59,0.102
"27",1.3,2,0.00118,62,0.107
"28",1.35,2,0.00124,64,0.111
"29",1.4,3,0.00129,66,0.115
"30",1.45,3,0.00134,69,0.119
"31",1.5,3,0.00139,72,0.123
"32",1.55,3,0.00144,74,0.127
"33",1.6,3,0.0015,77,0.132
"34",1.65,3,0.00155,80,0.136
"35",1.7,3,0.0016,82,0.14
"36",1.75,3,0.00165,85,0.144
"37",1.8,3,0.00171,87,0.148
"38",1.85,3,0.00176,90,0.152
"39",1.9,4,0.00181,92,0.157
"40",1.95,4,0.00186,95,0.161
"41",2,4,0.00192,97,0.165
"42",2.05,4,0.00197,100,0.169
"43",2.1,4,0.00202,102,0.173
"44",2.15,4,0.00207,105,0.177
"45",2.2,4,0.00213,107,0.182
"46",2.25,4,0.00218,110,0.186
"47",2.3,4,0.00223,113,0.19
"48",2.35,4,0.00228,115,0.194
"49",2.4,5,0.00233,117,0.198
"50",2.45,5,0.00238,120,0.202
"51",2.5,5,0.00243,123,0.207
"52",2.55,5,0.00248,125,0.211
"53",2.6,5,0.00253,127,0.215
"54",2.65,5,0.00258,130,0.219
"55",2.7,5,0.00263,132,0.223
"56",2.75,5,0.00268,134,0.227
"57",2.8,5,0.00273,137,0.232
"58",2.85,5,0.00278,140,0.236
"59",2.9,6,0.00283,142,0.24
"60",2.95,6,0.00288,144,0.244
"61",3,6,0.00294,147,0.248
"62",3.05,6,0.00299,149,0.253
"63",3.1,6,0.00304,152,0.257
"64",3.15,6,0.00309,154,0.261
"65",3.2,6,0.00314,157,0.265
"66",3.25,6,0.00319,159,0.269
"67",3.3,6,0.00324,162,0.273
"68",3.35,6,0.00329,164,0.277
"69",3.4,6,0.00335,166,0.282
"70",3.45,7,0.0034,169,0.286
"71",3.5,7,0.00345,171,0.29
"72",3.55,7,0.0035,174,0.294
"73",3.6,7,0.00355,177,0.298
"74",3.65,7,0.0036,179,0.303
"75",3.7,7,0.00365,181,0.307
"76",3.75,7,0.0037,184,0.311
"77",3.8,7,0.00375,186,0.315
"78",3.85,7,0.00381,189,0.319
"79",3.9,7,0.00385,191,0.323
"80",3.95,7,0.00391,193,0.327
"81",4,8,0.00396,196,0.332
"82",4.05,8,0.00401,198,0.336
"83",4.1,8,0.00406,201,0.34
"84",4.15,8,0.00411,203,0.344
"85",4.2,8,0.00416,205,0.348
"86",4.25,8,0.00421,208,0.353
"87",4.3,8,0.00426,210,0.357
"88",4.35,8,0.00431,213,0.361
"89",4.4,8,0.00436,215,0.365
"90",4.45,8,0.00441,217,0.369
"91",4.5,9,0.00446,220,0.373
"92",4.55,9,0.00451,222,0.377
"93",4.6,9,0.00456,225,0.382
"94",4.65,9,0.00461,227,0.386
"95",4.7,9,0.00466,230,0.39
"96",4.75,9,0.00472,232,0.394
"97",4.8,9,0.00476,234,0.398
"98",4.85,9,0.00482,237,0.403
"99",4.9,9,0.00486,239,0.407
"100",4.95,9,0.00492,242,0.411
"101",5,9,0.00497,244,0.415
"102",5.05,10,0.00502,246,0.419
"103",5.1,10,0.00507,249,0.423
"104",5.15,10,0.00512,251,0.427
"105",5.2,10,0.00517,254,0.432
"106",5.25,10,0.00522,256,0.436
"107",5.3,10,0.00527,258,0.44
"108",5.35,10,0.00532,260,0.444
"109",5.4,10,0.00538,263,0.448
"110",5.45,10,0.00542,265,0.453
"111",5.5,10,0.00547,268,0.457
"112",5.55,10,0.00552,270,0.461
"113",5.6,11,0.00557,272,0.465
"114",5.65,11,0.00563,274,0.469
"115",5.7,11,0.00567,277,0.473
"116",5.75,11,0.00573,279,0.477
"117",5.8,11,0.00577,281,0.482
"118",5.85,11,0.00583,284,0.486
"119",5.9,11,0.00587,287,0.49
"120",5.95,11,0.00593,289,0.494
"121",6,11,0.00598,291,0.498
"122",6.05,11,0.00603,293,0.502
"123",6.1,11,0.00608,296,0.507
"124",6.15,12,0.00613,298,0.511
"125",6.2,12,0.00618,301,0.515
"126",6.25,12,0.00623,303,0.519
"127",6.3,12,0.00628,305,0.523
"128",6.35,12,0.00633,307,0.527
"129",6.4,12,0.00638,309,0.532
"130",6.45,12,0.00643,312,0.536
"131",6.5,12,0.00648,314,0.54
"132",6.55,12,0.00653,317,0.544
"133",6.6,12,0.00658,319,0.548
"134",6.65,12,0.00663,321,0.553
"135",6.7,13,0.00668,323,0.557
"136",6.75,13,0.00673,325,0.561
"137",6.8,13,0.00678,328,0.565
"138",6.85,13,0.00683,330,0.569
"139",6.9,13,0.00688,333,0.573
"140",6.95,13,0.00693,335,0.577
"141",7,13,0.00698,337,0.582
"142",7.05,13,0.00703,340,0.586
"143",7.1,13,0.00708,342,0.59
"144",7.15,13,0.00713,344,0.594
"145",7.2,13,0.00718,346,0.598
"146",7.25,14,0.00723,349,0.602
"147",7.3,14,0.00728,351,0.607
"148",7.35,14,0.00733,354,0.611
"149",7.4,14,0.00738,356,0.615
"150",7.45,14,0.00743,358,0.619
"151",7.5,14,0.00748,360,0.623
"152",7.55,14,0.00753,362,0.627
"153",7.6,14,0.00758,365,0.632
"154",7.65,14,0.00763,367,0.636
"155",7.7,14,0.00768,369,0.64
"156",7.75,14,0.00773,372,0.644
"157",7.8,14,0.00778,374,0.648
"158",7.85,15,0.00783,376,0.653
"159",7.9,15,0.00788,379,0.657
"160",7.95,15,0.00793,381,0.661
"161",8,15,0.00798,383,0.665
"162",8.05,15,0.00803,385,0.669
"163",8.1,15,0.00808,387,0.673
"164",8.15,15,0.00813,390,0.677
"165",8.2,15,0.00818,392,0.682
"166",8.25,15,0.00823,394,0.686
"167",8.3,15,0.00828,397,0.69
"168",8.35,15,0.00834,399,0.694
"169",8.4,16,0.00838,401,0.698
"170",8.45,16,0.00843,403,0.702
"171",8.5,16,0.00848,405,0.707
"172",8.55,16,0.00853,407,0.711
"173",8.6,16,0.00858,409,0.715
"174",8.65,16,0.00863,412,0.719
"175",8.7,16,0.00868,414,0.723
"176",8.75,16,0.00873,416,0.727
"177",8.8,16,0.00878,418,0.732
"178",8.85,16,0.00883,420,0.736
"179",8.9,16,0.00888,423,0.74
"180",8.95,16,0.00893,425,0.744
"181",9,17,0.00898,428,0.748
"182",9.05,17,0.00903,430,0.753
"183",9.1,17,0.00908,432,0.757
"184",9.15,17,0.00913,434,0.761
"185",9.2,17,0.00918,436,0.765
"186",9.25,17,0.00923,438,0.769
"187",9.3,17,0.00928,440,0.773
"188",9.35,17,0.00933,442,0.777
"189",9.4,17,0.00938,445,0.782
"190",9.45,17,0.00943,447,0.786
"191",9.5,17,0.00948,449,0.79
"192",9.55,18,0.00953,452,0.794
"193",9.6,18,0.00958,454,0.798
"194",9.65,18,0.00963,456,0.802
"195",9.7,18,0.00968,458,0.807
"196",9.75,18,0.00972,460,0.811
"197",9.8,18,0.00978,462,0.815
"198",9.85,18,0.00983,464,0.819
"199",9.9,18,0.00988,466,0.823
"200",9.95,18,0.00993,468,0.827
"201",10,18,0.00998,471,0.832
"202",10.05,18,0.01003,473,0.836
"203",10.1,18,0.01007,475,0.84
"204",10.15,18,0.01012,477,0.844
"205",10.2,19,0.01017,479,0.848
"206",10.25,19,0.01022,481,0.852
"207",10.3,19,0.01027,483,0.857
"208",10.35,19,0.01032,486,0.861
"209",10.4,19,0.01037,487,0.865
"210",10.45,19,0.01042,490,0.869
"211",10.5,19,0.01047,492,0.873
"212",10.55,19,0.01052,494,0.877
"213",10.6,19,0.01056,496,0.882
"214",10.65,19,0.01061,498,0.886
"215",10.7,19,0.01066,500,0.89
"216",10.75,19,0.01071,502,0.894
"217",10.8,20,0.01076,504,0.898
"218",10.85,20,0.01081,506,0.903
"219",10.9,20,0.01086,509,0.907
"220",10.95,20,0.01091,510,0.911
"221",11,20,0.01096,513,0.915
"222",11.05,20,0.01101,515,0.919
"223",11.1,20,0.01106,517,0.923
"224",11.15,20,0.01111,519,0.927
"225",11.2,20,0.01115,521,0.932
"226",11.25,20,0.01121,523,0.936
"227",11.3,20,0.01125,525,0.94
"228",11.35,20,0.0113,527,0.944
"229",11.4,20,0.01135,529,0.948
"230",11.45,21,0.0114,531,0.952
"231",11.5,21,0.01145,533,0.957
"232",11.55,21,0.0115,535,0.961
"233",11.6,21,0.01155,537,0.965
"234",11.65,21,0.0116,539,0.969
"235",11.7,21,0.01165,541,0.973
"236",11.75,21,0.01169,543,0.977
"237",11.8,21,0.01174,545,0.982
"238",11.85,21,0.01179,547,0.986
"239",11.9,21,0.01184,549,0.99
"240",11.95,21,0.01189,551,0.994
"241",12,21,0.01194,553,0.998
"242",12.05,22,0.01199,555,1.002
"243",12.1,22,0.01204,557,1.007
"244",12.15,22,0.01208,559,1.011
"245",12.2,22,0.01214,561,1.015
"246",12.25,22,0.01218,563,1.019
"247",12.3,22,0.01223,565,1.023
"248",12.35,22,0.01228,566,1.027
"249",12.4,22,0.01233,568,1.032
"250",12.45,22,0.01237,570,1.036
"251",12.5,22,0.01242,572,1.04
"252",12.55,22,0.01247,574,1.044
"253",12.6,22,0.01252,576,1.048
"254",12.65,22,0.01257,579,1.052
"255",12.7,22,0.01262,580,1.057
"256",12.75,23,0.01266,582,1.061
"257",12.8,23,0.01271,584,1.065
"258",12.85,23,0.01276,586,1.069
"259",12.9,23,0.0128,588,1.073
"260",12.95,23,0.01285,589,1.077
"261",13,23,0.0129,591,1.082
"262",13.05,23,0.01295,593,1.086
"263",13.1,23,0.013,595,1.09
"264",13.15,23,0.01305,597,1.094
"265",13.2,23,0.0131,599,1.098
"266",13.25,23,0.01314,601,1.103
"267",13.3,23,0.01319,603,1.107
"268",13.35,23,0.01324,604,1.111
"269",13.4,24,0.01329,607,1.115
"270",13.45,24,0.01333,608,1.119
"271",13.5,24,0.01338,610,1.123
"272",13.55,24,0.01343,612,1.127
"273",13.6,24,0.01348,613,1.132
"274",13.65,24,0.01353,615,1.136
"275",13.7,24,0.01357,617,1.14
"276",13.75,24,0.01362,619,1.144
"277",13.8,24,0.01367,621,1.148
"278",13.85,24,0.01372,623,1.153
"279",13.9,24,0.01376,624,1.157
"280",13.95,24,0.01381,626,1.161
"281",14,24,0.01386,628,1.165
"282",14.05,24,0.01391,630,1.169
"283",14.1,24,0.01396,632,1.173
"284",14.15,25,0.01401,634,1.177
"285",14.2,25,0.01405,635,1.182
"286",14.25,25,0.0141,637,1.186
"287",14.3,25,0.01415,639,1.19
"288",14.35,25,0.01419,640,1.194
"289",14.4,25,0.01424,642,1.198
"290",14.45,25,0.01429,644,1.202
"291",14.5,25,0.01434,646,1.207
"292",14.55,25,0.01439,648,1.211
"293",14.6,25,0.01444,649,1.215
"294",14.65,25,0.01449,650,1.219
"295",14.7,25,0.01454,652,1.223
"296",14.75,25,0.01458,654,1.227
"297",14.8,25,0.01463,656,1.232
"298",14.85,25,0.01468,658,1.236
"299",14.9,26,0.01473,659,1.24
"300",14.95,26,0.01478,661,1.244
"301",15,26,0.01483,662,1.248
"302",15.05,26,0.01487,664,1.252
"303",15.1,26,0.01492,666,1.257
"304",15.15,26,0.01496,668,1.261
"305",15.2,26,0.01502,669,1.265
"306",15.25,26,0.01507,671,1.269
"307",15.3,26,0.01511,672,1.273
"308",15.35,26,0.01516,674,1.277
"309",15.4,26,0.01521,677,1.282
"310",15.45,26,0.01525,677,1.286
"311",15.5,26,0.0153,679,1.29
"312",15.55,26,0.01535,681,1.294
"313",15.6,26,0.0154,683,1.298
"314",15.65,27,0.01545,684,1.303
"315",15.7,27,0.01549,686,1.307
"316",15.75,27,0.01554,687,1.311
"317",15.8,27,0.01558,689,1.315
"318",15.85,27,0.01563,691,1.319
"319",15.9,27,0.01568,692,1.323
"320",15.95,27,0.01574,694,1.327
"321",16,27,0.01578,695,1.332
"322",16.05,27,0.01583,697,1.336
"323",16.1,27,0.01588,698,1.34
"324",16.15,27,0.01592,700,1.344
"325",16.2,27,0.01598,701,1.348
"326",16.25,27,0.01602,703,1.353
"327",16.3,27,0.01607,705,1.357
"328",16.35,27,0.01612,706,1.361
"329",16.4,27,0.01616,707,1.365
"330",16.45,27,0.01621,709,1.369
"331",16.5,28,0.01626,711,1.373
"332",16.55,28,0.01631,712,1.377
"333",16.6,28,0.01636,713,1.382
"334",16.65,28,0.01641,715,1.386
"335",16.7,28,0.01645,717,1.39
