Results Table 1
,Specimen label,Material,Thickness,Width,Print Position,Percent Fill,Perimeter Th.,Rate 1,Comment,Maximum Load,Maximum Tensile stress,Strain 1 at Maximum Tensile stress,Modulus (Automatic Young's),Tensile stress at Break (Automatic Load Drop),Strain 1 at Break (Automatic Load Drop)
,,,(mm),(mm),,,,(mm/min),,(N),(MPa),(mm/mm),(MPa),(MPa),(mm/mm)
1,"Specimen28",PLA-White,4.064,6.3500,Left,30%,1,5.00000,"Layers-4",805,31,0.02391,1891,27,0.04524
2,"Specimen29",PLA-White,4.064,6.3500,Middle,30%,1,5.00000,"Layers-4",803,31,0.02534,1922,29,0.04363
3,"Specimen30",ABS-Blue,4.064,6.3500,Right,30%,1,5.00000,"Layers-4",778,30,0.02145,1801,29,0.02311
Mean,,,4.064,6.3500,,,,5.00000,,795,31,0.02357,1872,29,0.03733
Standard Deviation,,,0.00000,0.00000,,,,0.00000,,15.16855,0.58778,0.00197,62.84872,1.07751,0.01234
Coefficient of Variation,,,0.00000,0.00000,,,,0.00000,,1.90731,1.90731,8.34636,3.35813,3.75407,33.06345

