Results Table 1
,Specimen label,Material,Thickness,Width,Print Position,Percent Fill,Perimeter Th.,Rate 1,Comment,Maximum Load,Maximum Tensile stress,Strain 1 at Maximum Tensile stress,Modulus (Automatic Young's),Tensile stress at Break (Automatic Load Drop),Strain 1 at Break (Automatic Load Drop)
,,,(mm),(mm),,,,(mm/min),,(N),(MPa),(mm/mm),(MPa),(MPa),(mm/mm)
1,"Specimen52",HIPS-Yellow,4.064,6.3500,Left,30%,1,5.00000,"Layers-4",392,15,0.01426,1300,10,0.11762
2,"Specimen53",HIPS-Yellow,4.064,6.3500,Middle,30%,1,5.00000,"Layers-4",396,15,0.01543,1245,7,0.08154
3,"Specimen54",HIPS-Yellow,4.064,6.3500,Right,30%,1,5.00000,"Layers-4",403,16,0.01590,1290,12,0.12934
Mean,,,4.064,6.3500,,,,5.00000,,397,15,0.01520,1278,10,0.10950
Standard Deviation,,,0.00000,0.00000,,,,0.00000,,5.42091,0.21006,0.00084,29.22761,2.65981,0.02491
Coefficient of Variation,,,0.00000,0.00000,,,,0.00000,,1.36596,1.36596,5.55637,2.28698,26.89097,22.75059

